Date,Open,High,Low,Close,Adj Close,Volume
2018-07-24,8.0,8.0,4.71,4.81,4.81,415000
2018-07-25,4.89,4.9,4.2,4.41,4.41,296500
2018-07-26,4.44,4.5,4.075,4.45,4.45,104100
2018-07-27,4.46,4.46,4.25,4.35,4.35,46300
2018-07-30,4.31,4.363,4.0,4.0,4.0,34800
2018-07-31,4.1,4.1,4.0,4.0,4.0,175500
2018-08-01,4.04,4.05,4.0,4.0,4.0,76400
2018-08-02,4.0,4.04,3.99,4.0,4.0,76600
2018-08-03,4.0,4.02,4.0,4.0,4.0,84800
2018-08-06,4.01,4.01,3.5,3.5,3.5,220000
2018-08-07,3.5,3.687,3.5,3.55,3.55,50900
2018-08-08,3.6,3.64,3.4,3.4,3.4,53300
2018-08-09,3.39,3.5,3.35,3.45,3.45,51000
2018-08-10,3.44,3.63,3.44,3.5,3.5,22000
2018-08-13,3.56,3.889,3.56,3.7,3.7,31000
2018-08-14,3.7,3.9,3.65,3.9,3.9,26400
2018-08-15,3.9,3.91,3.8,3.91,3.91,22600
2018-08-16,3.94,3.95,3.884,3.9,3.9,19600
2018-08-17,3.94,3.98,3.8,3.83,3.83,20000
2018-08-20,3.85,3.95,3.81,3.89,3.89,46200
2018-08-21,3.89,3.95,3.81,3.83,3.83,28300
2018-08-22,3.865,3.95,3.75,3.8,3.8,49000
2018-08-23,3.86,3.86,3.79,3.82,3.82,29000
2018-08-24,3.886,3.9,3.783,3.85,3.85,37100
2018-08-27,3.82,3.89,3.75,3.8,3.8,19100
2018-08-28,3.82,3.9,3.766,3.87,3.87,62800
2018-08-29,3.85,3.89,3.8,3.84,3.84,23700
2018-08-30,3.84,3.882,3.795,3.85,3.85,11900
2018-08-31,3.89,3.9,3.8,3.85,3.85,67800
2018-09-04,3.93,3.93,3.82,3.86,3.86,40100
2018-09-05,3.86,3.88,3.84,3.88,3.88,23600
2018-09-06,3.86,3.92,3.78,3.82,3.82,21800
2018-09-07,3.85,3.93,3.82,3.93,3.93,31100
2018-09-10,3.9,4.05,3.72,3.81,3.81,234000
2018-09-11,3.79,4.05,3.79,4.0,4.0,129400
2018-09-12,4.029,4.05,3.85,3.97,3.97,102100
