Date,Open,High,Low,Close,Adj Close,Volume
2014-08-01,13.07,13.42,12.72,13.0,13.0,2625400
2014-08-04,12.95,13.25,12.95,13.02,13.02,163200
2014-08-05,13.0,13.122,12.85,13.0,13.0,80300
2014-08-06,13.0,13.25,12.9,13.0,13.0,97600
2014-08-07,13.01,13.05,12.9,13.0,13.0,160700
2014-08-08,13.01,13.1,12.95,13.0,13.0,11000
2014-08-11,13.01,13.2,13.0,13.14,13.14,68700
2014-08-12,13.14,13.25,13.0,13.08,13.08,236300
2014-08-13,13.096,13.11,12.9,13.0,13.0,132900
2014-08-14,13.0,13.1,12.9,13.1,13.1,28600
2014-08-15,13.15,13.25,13.04,13.08,13.08,43900
2014-08-18,13.1,13.1,12.91,13.045,13.045,39800
2014-08-19,13.0,13.07,12.95,13.07,13.07,14800
2014-08-20,13.07,13.08,12.95,13.01,13.01,14200
2014-08-21,13.0,13.08,12.95,13.07,13.07,15000
2014-08-22,13.0,13.08,13.0,13.045,13.045,24000
2014-08-25,13.08,13.1,13.01,13.05,13.05,41800
2014-08-26,13.06,13.135,12.687,13.01,13.01,53500
2014-08-27,13.0,13.19,13.0,13.0,13.0,16500
2014-08-28,13.05,13.142,13.0,13.07,13.07,34200
2014-08-29,13.05,13.22,13.0,13.01,13.01,45800
2014-09-02,13.25,14.29,13.01,13.8,13.8,75400
2014-09-03,14.88,14.88,14.05,14.44,14.44,80800
2014-09-04,14.44,14.836,14.24,14.8,14.8,59000
2014-09-05,15.0,16.452,14.9,15.56,15.56,95300
2014-09-08,15.75,16.200001,15.02,15.415,15.415,153600
2014-09-09,15.67,15.67,14.74,15.02,15.02,43300
2014-09-10,15.39,15.39,14.5,14.67,14.67,28100
2014-09-11,14.25,14.44,13.01,13.97,13.97,80000
2014-09-12,13.74,14.09,12.55,12.79,12.79,67500
2014-09-15,12.81,12.85,10.5,11.68,11.68,109600
2014-09-16,11.86,11.86,10.93,11.4,11.4,37300
2014-09-17,11.28,11.66,11.13,11.31,11.31,28500
2014-09-18,12.09,12.09,11.25,11.35,11.35,23500
2014-09-19,11.99,11.99,10.89,10.89,10.89,71900
2014-09-22,10.81,10.94,10.0,10.11,10.11,38500
2014-09-23,10.435,11.59,10.01,11.02,11.02,50400
2014-09-24,11.3,12.24,11.05,12.12,12.12,46700
2014-09-25,12.15,12.15,11.02,11.8,11.8,80200
2014-09-26,11.8,12.41,11.57,12.11,12.11,40400
2014-09-29,12.06,14.21,12.06,13.74,13.74,86000
2014-09-30,13.7,14.28,12.61,13.13,13.13,451300
2014-10-01,13.16,13.77,11.97,12.42,12.42,145000
2014-10-02,12.42,12.93,11.05,12.49,12.49,38700
2014-10-03,12.52,13.71,12.52,13.02,13.02,30800
2014-10-06,13.03,13.2,12.57,12.95,12.95,55200
2014-10-07,12.82,12.95,12.25,12.9,12.9,66400
2014-10-08,12.86,13.945,12.55,13.3,13.3,44900
2014-10-09,13.35,13.51,12.34,12.47,12.47,37800
2014-10-10,12.5,12.5,11.08,11.08,11.08,19300
2014-10-13,11.15,11.4,10.85,11.01,11.01,10900
2014-10-14,11.03,11.46,10.66,11.46,11.46,21000
2014-10-15,11.24,12.32,11.24,11.99,11.99,25200
2014-10-16,11.95,12.0,11.52,11.9,11.9,17900
2014-10-17,11.94,12.13,11.26,11.3,11.3,29900
