Date,Open,High,Low,Close,Adj Close,Volume
2013-06-20,15.8,17.4,15.63,16.49,16.49,3371700
2013-06-21,16.75,17.719998999999998,16.5,17.5,17.5,181700
2013-06-24,17.25,17.809998999999998,16.33,17.35,17.35,146300
2013-06-25,17.41,17.92,17.379998999999998,17.540001,17.540001,116400
2013-06-26,16.82,17.0,15.7,16.045,16.045,1056200
2013-06-27,16.1,16.190001000000002,13.035,13.63,13.63,580600
2013-06-28,13.48,15.18,13.48,15.0,15.0,166200
2013-07-01,14.85,15.074,14.42,15.0,15.0,59100
2013-07-02,15.51,17.389999,15.044,16.129998999999998,16.129998999999998,90800
2013-07-03,16.24,16.24,15.16,15.16,15.16,13000
2013-07-05,15.85,16.23,15.025,15.2,15.2,12600
2013-07-08,15.2,15.92,15.19,15.92,15.92,72900
2013-07-09,15.97,15.99,15.31,15.515,15.515,13900
2013-07-10,15.5,15.8,15.2,15.8,15.8,45400
2013-07-11,16.030001000000002,16.5,15.83,16.34,16.34,87200
2013-07-12,16.940001000000002,16.950001,16.312,16.940001000000002,16.940001000000002,82200
2013-07-15,17.370001000000002,17.700001,16.219998999999998,17.17,17.17,188800
2013-07-16,18.5,18.5,16.51,16.57,16.57,249800
2013-07-17,16.780001000000002,17.82,16.75,17.82,17.82,210900
2013-07-18,18.0,18.469998999999998,17.879998999999998,18.4,18.4,149400
2013-07-19,17.780001000000002,18.41,17.09,17.75,17.75,251400
2013-07-22,17.700001,17.700001,16.75,16.98,16.98,172100
2013-07-23,17.02,17.219998999999998,16.4,16.77,16.77,148800
2013-07-24,16.74,16.74,15.91,16.1,16.1,93800
2013-07-25,16.110001,16.23,15.5,16.139999,16.139999,84300
2013-07-26,16.18,17.33,16.18,16.57,16.57,61400
2013-07-29,16.67,16.870001000000002,16.35,16.549999,16.549999,15400
2013-07-30,16.77,16.889999,15.58,15.58,15.58,239300
2013-07-31,15.49,16.040001,14.41,15.66,15.66,87800
2013-08-01,15.64,16.1,14.26,14.62,14.62,183100
2013-08-02,14.73,14.73,13.88,14.06,14.06,186800
2013-08-05,14.06,15.17,14.0,14.92,14.92,47000
2013-08-06,15.0,15.2,14.31,14.53,14.53,195000
2013-08-07,14.49,15.83,14.42,14.86,14.86,156100
2013-08-08,15.08,15.7,14.71,14.95,14.95,206700
2013-08-09,15.2,16.0,15.2,15.42,15.42,18700
2013-08-12,15.35,15.71,14.86,15.46,15.46,52600
2013-08-13,15.58,15.58,14.56,15.0,15.0,103000
2013-08-14,15.18,15.75,14.35,15.64,15.64,179300
2013-08-15,15.02,15.58,15.02,15.55,15.55,17300
2013-08-16,15.58,16.1,15.44,15.66,15.66,19900
2013-08-19,15.5,16.0,15.5,15.86,15.86,15700
2013-08-20,15.99,16.030001000000002,15.44,15.63,15.63,43900
2013-08-21,15.56,15.75,15.34,15.59,15.59,6200
2013-08-22,15.73,16.16,15.0,16.15,16.15,27100
2013-08-23,15.94,16.52,15.04,15.82,15.82,6800
2013-08-26,16.030001000000002,16.99,15.56,16.200001,16.200001,24000
2013-08-27,16.360001,16.91,16.360001,16.57,16.57,15500
2013-08-28,16.540001,17.32,16.34,16.620001000000002,16.620001000000002,43400
2013-08-29,16.959999,17.51,16.959999,17.49,17.49,25300
2013-08-30,17.639999,18.25,17.639999,17.940001000000002,17.940001000000002,91200
2013-09-03,19.09,19.09,17.76,18.15,18.15,84300
2013-09-04,18.299999,18.950001,17.950001,18.74,18.74,237800
2013-09-05,18.950001,19.25,18.6,19.1,19.1,32600
2013-09-06,19.450001,19.450001,18.67,19.07,19.07,11600
2013-09-09,19.110001,21.01,18.129998999999998,20.879998999999998,20.879998999999998,142600
2013-09-10,21.01,22.370001000000002,20.83,21.860001,21.860001,151400
2013-09-11,21.99,21.99,19.58,20.4,20.4,65200
2013-09-12,20.49,20.85,20.0,20.42,20.42,70300
2013-09-13,21.200001,21.9,20.299999,21.34,21.34,69400
2013-09-16,21.43,21.440001000000002,20.299999,20.780001000000002,20.780001000000002,82600
2013-09-17,20.35,20.889999,19.389999,19.76,19.76,58900
2013-09-18,19.66,19.74,18.35,19.73,19.73,69900
2013-09-19,19.77,20.15,19.030001000000002,19.52,19.52,47400
2013-09-20,18.77,19.32,17.459999,17.879998999999998,17.879998999999998,125000
2013-09-23,17.9,24.379998999999998,17.9,22.48,22.48,552500
2013-09-24,22.370001000000002,23.0,20.25,21.389999,21.389999,212300
2013-09-25,21.4,22.23,20.84,21.84,21.84,126400
2013-09-26,21.99,22.51,20.530001000000002,21.450001,21.450001,124400
2013-09-27,21.77,21.77,20.17,21.370001000000002,21.370001000000002,168100
2013-09-30,21.309998999999998,21.790001,19.85,21.459999,21.459999,906000
2013-10-01,21.450001,22.42,20.780001000000002,22.389999,22.389999,182100
2013-10-02,22.299999,22.299999,20.190001000000002,20.360001,20.360001,95000
2013-10-03,20.309998999999998,20.6,19.200001,19.389999,19.389999,109900
2013-10-04,19.27,19.6,18.84,19.030001000000002,19.030001000000002,75400
2013-10-07,18.83,19.34,18.83,19.110001,19.110001,51000
2013-10-08,19.049999,19.84,16.52,16.84,16.84,159000
