Date,Open,High,Low,Close,Adj Close,Volume
2014-01-06,80.0,80.0,80.0,80.0,80.0,0
2014-01-07,95.0,95.0,95.0,95.0,95.0,0
2014-01-08,92.5,95.0,92.5,95.0,95.0,0
2014-01-09,95.0,95.0,95.0,95.0,95.0,0
2014-01-10,95.0,100.0,95.0,98.5,98.5,1100
2014-01-13,98.599998,98.599998,98.0,98.0,98.0,200
2014-01-14,99.0,109.0,99.0,109.0,109.0,1200
2014-01-15,115.0,119.0,110.0,110.0,110.0,300
2014-01-16,105.0,110.0,105.0,110.0,110.0,100
2014-01-17,110.0,110.0,110.0,110.0,110.0,100
2014-01-21,110.0,110.0,110.0,110.0,110.0,0
2014-01-22,110.0,110.0,110.0,110.0,110.0,100
2014-01-23,105.5,105.5,105.5,105.5,105.5,0
2014-01-24,105.5,109.599998,105.0,105.0,105.0,900
2014-01-27,107.0,107.0,105.0,105.0,105.0,600
2014-01-28,105.0,105.0,105.0,105.0,105.0,0
2014-01-29,105.0,105.0,105.0,105.0,105.0,0
2014-01-30,104.900002,104.900002,100.0,102.0,102.0,400
2014-01-31,66.599998,92.0,60.599998,89.0,89.0,13200
2014-02-03,88.5,90.0,77.0,81.5,81.5,5100
2014-02-04,80.0,80.0,75.400002,78.5,78.5,2800
2014-02-05,75.199997,77.0,75.0,75.0,75.0,1400
2014-02-06,72.5,79.800003,68.0,72.800003,72.800003,4200
2014-02-07,79.5,90.0,77.5,78.599998,78.599998,3200
2014-02-10,83.0,83.0,72.699997,78.800003,78.800003,4900
2014-02-11,75.0,80.5,74.0,78.099998,78.099998,800
2014-02-12,78.0,78.0,76.0,78.0,78.0,1100
2014-02-13,76.599998,76.599998,74.900002,75.0,75.0,900
2014-02-14,76.599998,77.900002,75.099998,77.400002,77.400002,900
2014-02-18,77.599998,80.0,75.0,75.5,75.5,1500
2014-02-19,75.0,75.0,73.0,73.0,73.0,2000
2014-02-20,74.5,74.5,70.5,70.5,70.5,1000
2014-02-21,72.699997,74.800003,70.5,71.0,71.0,2100
2014-02-24,69.099998,72.900002,69.099998,70.5,70.5,1700
2014-02-25,70.5,70.800003,68.0,68.5,68.5,1500
2014-02-26,68.5,70.400002,68.5,68.699997,68.699997,300
2014-02-27,67.800003,69.5,62.099998,65.0,65.0,7500
2014-02-28,64.0,65.0,57.599998,64.5,64.5,4500
2014-03-03,65.0,65.0,60.009997999999996,62.5,62.5,3300
2014-03-04,65.0,65.0,61.0,61.5,61.5,3900
2014-03-05,61.0,62.0,59.099998,61.900002,61.900002,3600
2014-03-06,62.0,67.389999,62.0,66.0,66.0,2800
2014-03-07,63.200001,65.0,61.099998,64.900002,64.900002,900
2014-03-10,69.099998,69.099998,65.5,69.099998,69.099998,1100
