Date,Open,High,Low,Close,Adj Close,Volume
2014-01-31,45.799999,47.990002000000004,41.849998,42.25,42.25,4392500
2014-02-03,43.950001,43.950001,38.52,39.0,39.0,498200
2014-02-04,38.799999,40.25,36.18,36.259997999999996,36.259997999999996,352300
2014-02-05,38.509997999999996,38.509997999999996,35.150002,36.080002,36.080002,296500
2014-02-06,36.84,38.68,35.810001,37.240002000000004,37.240002000000004,188500
2014-02-07,36.459998999999996,38.290001000000004,36.459998999999996,37.650002,37.650002,62500
2014-02-10,37.595001,39.919998,37.595001,38.450001,38.450001,90200
2014-02-11,39.830002,40.589001,38.52,40.130001,40.130001,83500
2014-02-12,40.049999,46.0,40.049999,44.779999,44.779999,291600
2014-02-13,44.27,44.950001,40.509997999999996,43.959998999999996,43.959998999999996,169900
2014-02-14,45.110001000000004,45.18,42.66,44.0,44.0,37900
2014-02-18,44.0,44.994999,42.765999,43.57,43.57,45000
2014-02-19,43.709998999999996,44.889998999999996,41.43,43.849998,43.849998,104200
2014-02-20,43.639998999999996,51.869999,43.639998999999996,51.349998,51.349998,182000
2014-02-21,51.860001000000004,62.48,49.619999,59.099998,59.099998,227500
2014-02-24,58.529999,59.810001,54.16,58.009997999999996,58.009997999999996,165500
2014-02-25,60.0,63.855,58.0,59.0,59.0,244400
2014-02-26,58.5,60.521,54.150002,56.07,56.07,93000
2014-02-27,56.470001,57.650002,53.740002000000004,54.0,54.0,95800
2014-02-28,54.0,57.25,53.150002,55.759997999999996,55.759997999999996,110000
2014-03-03,51.869999,59.310001,50.056999,55.529999,55.529999,131900
2014-03-04,56.59,59.990002000000004,54.630001,58.220001,58.220001,98300
2014-03-05,62.34,62.34,58.5,58.75,58.75,103800
2014-03-06,58.5,59.290001000000004,52.25,54.380001,54.380001,163600
2014-03-07,54.98,58.959998999999996,50.049999,56.625,56.625,147000
2014-03-10,59.060001,62.610001000000004,55.009997999999996,61.970001,61.970001,217900
2014-03-11,64.410004,64.889999,59.5,62.380001,62.380001,231600
2014-03-12,61.18,66.5,60.5,66.18,66.18,77800
2014-03-13,67.18,69.774002,56.889998999999996,60.48,60.48,275900
2014-03-14,57.580002,61.68,57.580002,60.0,60.0,84100
2014-03-17,60.509997999999996,61.240002000000004,58.91,60.060001,60.060001,83200
2014-03-18,60.0,61.240002000000004,59.740002000000004,60.439999,60.439999,81000
2014-03-19,60.790001000000004,64.720001,60.115002000000004,62.75,62.75,104900
2014-03-20,62.07,62.849998,59.189999,60.349998,60.349998,91200
2014-03-21,60.580002,61.25,55.049999,55.049999,55.049999,426100
2014-03-24,55.34,57.960999,50.049999,51.41,51.41,241500
2014-03-25,51.900002,54.200001,49.369999,50.400002,50.400002,189200
2014-03-26,50.5,51.443001,49.98,50.689999,50.689999,119000
2014-03-27,51.049999,53.25,49.09,49.790001000000004,49.790001000000004,112400
2014-03-28,50.220001,51.240002000000004,45.0,45.689999,45.689999,212000
2014-03-31,47.0,48.959998999999996,44.619999,48.889998999999996,48.889998999999996,978500
2014-04-01,49.16,51.91,48.16,51.32,51.32,160700
2014-04-02,51.369999,53.360001000000004,51.32,53.029999,53.029999,125600
2014-04-03,52.830002,52.830002,48.549999,51.740002000000004,51.740002000000004,195700
2014-04-04,51.880001,52.224998,47.009997999999996,50.669998,50.669998,122600
2014-04-07,50.599998,52.200001,49.393002,51.169998,51.169998,90300
2014-04-08,51.0,53.119999,49.099998,52.799999,52.799999,244800
2014-04-09,53.299999,60.0,51.369999,58.799999,58.799999,168000
2014-04-10,58.48,58.84,55.0,57.939999,57.939999,148100
2014-04-11,57.549999,60.0,56.310001,58.990002000000004,58.990002000000004,378300
2014-04-14,59.75,59.75,54.950001,55.060001,55.060001,265400
2014-04-15,55.439999,55.52,46.57,49.889998999999996,49.889998999999996,638100
2014-04-16,49.91,49.91,44.169998,45.220001,45.220001,251900
2014-04-17,44.869999,44.869999,42.0,42.560001,42.560001,410100
2014-04-21,42.560001,43.0,39.389998999999996,41.040001000000004,41.040001000000004,277000
2014-04-22,41.189999,43.490002000000004,39.799999,41.43,41.43,354100
2014-04-23,41.150002,41.5,37.889998999999996,38.240002000000004,38.240002000000004,151000
2014-04-24,38.5,38.560001,36.220001,37.830002,37.830002,165000
2014-04-25,37.560001,37.560001,35.009997999999996,35.25,35.25,184000
2014-04-28,35.490002000000004,37.860001000000004,34.119999,36.84,36.84,143200
2014-04-29,36.84,38.790001000000004,36.689999,38.52,38.52,149500
2014-04-30,38.490002000000004,38.98,36.939999,38.779999,38.779999,313500
2014-05-01,38.560001,39.880001,37.07,38.849998,38.849998,123300
2014-05-02,39.060001,39.209998999999996,37.970001,38.560001,38.560001,72600
2014-05-05,38.240002000000004,39.330002,38.200001,38.540001000000004,38.540001000000004,110100
2014-05-06,38.560001,38.560001,35.919998,36.240002000000004,36.240002000000004,103800
