Date,Open,High,Low,Close,Adj Close,Volume
2016-09-28,8.53,34.880001,7.36,28.879998999999998,28.879998999999998,24500
2016-09-29,33.669998,33.669998,16.059998999999998,16.384001,16.384001,19400
2016-09-30,15.26,15.614,10.0,11.19,11.19,116000
2016-10-03,11.0,11.0,9.0,9.13,9.13,29700
2016-10-04,9.13,9.13,7.02,7.08,7.08,114200
2016-10-05,7.0,7.5,6.15,6.2,6.2,65000
2016-10-06,6.46,7.387,5.99,6.62,6.62,93900
2016-10-07,6.91,7.49,6.25,6.35,6.35,84900
2016-10-10,6.03,6.43,5.292,5.75,5.75,50300
2016-10-11,5.76,6.1,5.39,5.4,5.4,60700
2016-10-12,5.21,5.935,5.15,5.23,5.23,37900
2016-10-13,5.45,5.54,5.0,5.05,5.05,28600
2016-10-14,5.442,5.442,5.03,5.23,5.23,40400
2016-10-17,5.68,5.7,5.166,5.39,5.39,44000
2016-10-18,5.7,5.75,5.11,5.49,5.49,42500
2016-10-19,5.24,5.6,5.24,5.6,5.6,28100
2016-10-20,5.572,5.607,5.3,5.52,5.52,30900
2016-10-21,5.6,5.6,5.3,5.4,5.4,36300
2016-10-24,5.45,5.55,5.26,5.4,5.4,41000
2016-10-25,5.3,5.4,5.14,5.3,5.3,65800
2016-10-26,5.28,5.7,5.0,5.18,5.18,75600
2016-10-27,5.23,5.331,5.0,5.0,5.0,29500
2016-10-28,5.0,5.15,4.8,4.9,4.9,10900
2016-10-31,4.78,5.028,4.51,4.6,4.6,42500
2016-11-01,4.72,4.85,4.27,4.3,4.3,50100
2016-11-02,4.26,4.41,3.39,3.57,3.57,26600
2016-11-03,3.6,4.0,3.6,3.8,3.8,9100
2016-11-04,4.07,4.07,3.47,3.47,3.47,15800
2016-11-07,3.81,3.88,3.7,3.78,3.78,15900
2016-11-08,3.95,3.95,3.515,3.62,3.62,8900
2016-11-09,3.6,3.95,3.57,3.71,3.71,26400
2016-11-10,3.87,5.78,3.863,5.05,5.05,203900
2016-11-11,5.0,5.441,4.63,4.81,4.81,40400
2016-11-14,5.09,5.09,4.39,4.8,4.8,28500
2016-11-15,4.709,5.203,4.408,4.63,4.63,51200
2016-11-16,4.72,5.5,4.7,4.89,4.89,49600
2016-11-17,4.95,6.33,4.95,5.6,5.6,290800
2016-11-18,5.98,5.98,5.2,5.55,5.55,34200
2016-11-21,5.176,5.624,4.7,4.85,4.85,79600
2016-11-22,4.92,4.956,4.351,4.625,4.625,83200
2016-11-23,4.56,4.7,4.01,4.39,4.39,26900
2016-11-25,4.37,4.37,4.03,4.22,4.22,44200
2016-11-28,4.34,5.0,4.01,4.37,4.37,69200
2016-11-29,4.43,4.44,4.05,4.35,4.35,26400
2016-11-30,4.427,4.463,4.153,4.28,4.28,22400
2016-12-01,4.26,4.5,4.1,4.5,4.5,44000
2016-12-02,4.61,4.7,4.2,4.44,4.44,96400
2016-12-05,4.44,4.6,4.1,4.32,4.32,12000
2016-12-06,4.44,4.47,4.25,4.45,4.45,5700
2016-12-07,4.35,4.7,4.17,4.67,4.67,57700
2016-12-08,4.81,4.9,4.45,4.9,4.9,45500
2016-12-09,4.59,4.794,4.45,4.64,4.64,55500
2016-12-12,4.56,4.6,4.25,4.58,4.58,43800
2016-12-13,4.59,4.59,4.15,4.44,4.44,22600
2016-12-14,4.44,4.44,4.01,4.14,4.14,19200
2016-12-15,4.17,4.646,4.14,4.27,4.27,17000
2016-12-16,4.27,4.35,4.01,4.02,4.02,46200
2016-12-19,4.095,4.5,4.095,4.23,4.23,14400
2016-12-20,4.28,4.28,4.05,4.15,4.15,12700
2016-12-21,4.1,4.197,3.66,4.04,4.04,22000
2016-12-22,4.16,4.16,3.95,4.04,4.04,2400
2016-12-23,4.16,4.16,4.05,4.13,4.13,2500
2016-12-27,3.8,4.21,3.8,4.11,4.11,10300
2016-12-28,4.1,4.1,3.75,3.75,3.75,6700
2016-12-29,4.14,4.195,3.76,4.0,4.0,6300
2016-12-30,4.01,4.249,4.0,4.2,4.2,9500
2017-01-03,4.2,4.2,3.93,3.93,3.93,9900
2017-01-04,4.19,4.19,3.82,3.82,3.82,10300
2017-01-05,4.02,4.02,3.81,3.93,3.93,11900
2017-01-06,4.08,4.08,3.79,3.82,3.82,11600
2017-01-09,4.01,4.01,3.85,3.88,3.88,12600
2017-01-10,3.98,3.98,3.87,3.89,3.89,11000
2017-01-11,3.887,3.887,3.84,3.885,3.885,9300
2017-01-12,3.93,3.93,3.86,3.93,3.93,7800
2017-01-13,3.95,3.95,3.82,3.84,3.84,10200
2017-01-17,3.94,3.94,3.84,3.88,3.88,8600
2017-01-18,3.92,3.92,3.78,3.86,3.86,10600
2017-01-19,3.84,3.85,3.8,3.81,3.81,9900
2017-01-20,3.88,3.88,3.67,3.85,3.85,32800
2017-01-23,3.98,4.25,3.845,3.845,3.845,37100
2017-01-24,3.9,4.0,3.76,3.76,3.76,5100
2017-01-25,3.87,3.87,3.65,3.71,3.71,3700
2017-01-26,3.66,3.853,3.6,3.75,3.75,12800
2017-01-27,3.66,3.66,3.56,3.66,3.66,3200
2017-01-30,3.66,3.66,3.52,3.52,3.52,12600
2017-01-31,3.7,3.829,3.51,3.51,3.51,4500
2017-02-01,3.54,3.685,3.54,3.6,3.6,16200
2017-02-02,3.62,3.62,3.56,3.57,3.57,5500
2017-02-03,3.6,3.61,3.58,3.58,3.58,7100
2017-02-06,3.56,3.65,3.5,3.56,3.56,6000
2017-02-07,3.57,3.588,3.05,3.21,3.21,48900
2017-02-08,3.13,3.205,3.02,3.02,3.02,21900
2017-02-09,3.04,3.34,3.03,3.34,3.34,22800
2017-02-10,3.31,3.64,3.25,3.52,3.52,38400
2017-02-13,3.563,3.8,3.36,3.74,3.74,39200
2017-02-14,3.74,3.83,3.55,3.55,3.55,26300
2017-02-15,3.61,3.99,3.59,3.76,3.76,39900
2017-02-16,4.1,4.339,3.65,3.79,3.79,107800
2017-02-17,3.99,4.08,3.695,3.82,3.82,75600
