Date,Open,High,Low,Close,Adj Close,Volume
2016-07-28,10.35,11.88,10.0,11.08,11.08,1569000
2016-07-29,11.0,11.91,10.26,11.26,11.26,232700
2016-08-01,11.6,12.07,11.02,12.07,12.07,112800
2016-08-02,11.88,13.2,11.88,13.16,13.16,105400
2016-08-03,13.2,13.75,13.2,13.65,13.65,80100
2016-08-04,13.85,13.85,12.8,13.53,13.53,108400
2016-08-05,13.2,14.52,13.2,14.08,14.08,84300
2016-08-08,14.5,14.85,13.22,13.82,13.82,44300
2016-08-09,13.925,14.22,13.265,14.09,14.09,23400
2016-08-10,13.93,14.1,13.346,14.09,14.09,51900
2016-08-11,14.0,14.18,13.5,14.0,14.0,25100
2016-08-12,14.2,14.2,13.5,13.88,13.88,59100
2016-08-15,14.02,14.14,13.31,13.67,13.67,75600
2016-08-16,13.41,14.5,12.17,13.64,13.64,95600
2016-08-17,13.645,13.7,12.72,13.45,13.45,41500
2016-08-18,13.436,13.5,13.06,13.25,13.25,34600
2016-08-19,13.44,13.53,13.01,13.23,13.23,24500
2016-08-22,13.05,13.062,12.7,12.85,12.85,55700
2016-08-23,12.9,13.44,12.9,13.2,13.2,42000
2016-08-24,13.17,13.87,13.13,13.59,13.59,63700
2016-08-25,13.83,13.83,13.35,13.6,13.6,23800
2016-08-26,13.6,13.8,13.295,13.57,13.57,24500
2016-08-29,13.75,13.94,13.5,13.77,13.77,37100
2016-08-30,13.699,13.795,13.5,13.71,13.71,17600
2016-08-31,13.36,14.85,13.36,14.528,14.528,61600
2016-09-01,14.52,15.41,14.395,15.02,15.02,138000
2016-09-02,15.39,16.441,14.81,14.87,14.87,113800
2016-09-06,14.75,15.439,14.521,15.075,15.075,67700
2016-09-07,15.65,16.26,15.6,15.86,15.86,189500
2016-09-08,16.33,16.33,15.76,16.1,16.1,73800
2016-09-09,16.200001,16.200001,15.75,15.95,15.95,43400
2016-09-12,15.91,15.91,15.42,15.66,15.66,47000
2016-09-13,15.62,16.981001000000003,15.5,16.549999,16.549999,119300
2016-09-14,16.360001,18.389999,16.0,18.1,18.1,247800
2016-09-15,18.25,19.26,17.65,18.66,18.66,107500
2016-09-16,18.9,20.049999,18.74,19.52,19.52,255000
2016-09-19,19.719998999999998,21.200001,17.48,17.98,17.98,155100
2016-09-20,17.799999,19.290001,17.799999,19.25,19.25,89800
2016-09-21,19.389999,19.389999,18.76,19.16,19.16,68400
2016-09-22,19.09,19.59,18.08,19.200001,19.200001,67700
2016-09-23,19.6,20.549999,19.02,20.18,20.18,107400
2016-09-26,20.17,22.290001,19.75,19.950001,19.950001,233800
2016-09-27,20.09,20.98,18.642,18.940001000000002,18.940001000000002,86200
2016-09-28,19.07,19.5,18.583,19.139999,19.139999,179000
2016-09-29,19.24,19.4,17.26,17.5,17.5,126000
2016-09-30,17.5,19.639999,17.5,18.700001,18.700001,453500
2016-10-03,19.0,19.0,17.99,18.450001,18.450001,74300
2016-10-04,18.67,18.67,18.07,18.139999,18.139999,25000
2016-10-05,18.35,19.59,18.110001,19.030001000000002,19.030001000000002,33100
2016-10-06,18.950001,19.0,18.65,18.84,18.84,18000
2016-10-07,18.91,20.25,18.652,19.870001000000002,19.870001000000002,87500
2016-10-10,19.83,20.139999,19.42,19.59,19.59,25300
2016-10-11,19.290001,19.290001,17.617001000000002,19.02,19.02,67300
2016-10-12,18.92,18.92,18.040001,18.450001,18.450001,19100
2016-10-13,18.33,19.18,18.32,19.030001000000002,19.030001000000002,26900
2016-10-14,19.459999,19.459999,18.0,18.299999,18.299999,38200
2016-10-17,18.610001,19.389999,18.565001000000002,19.120001000000002,19.120001000000002,31800
2016-10-18,19.33,19.33,18.34,19.030001000000002,19.030001000000002,30000
2016-10-19,19.02,19.339001,18.955,19.190001000000002,19.190001000000002,19700
2016-10-20,19.110001,19.16,18.483,18.99,18.99,16000
2016-10-21,18.85,19.139999,18.18,18.83,18.83,17500
2016-10-24,18.809998999999998,19.570999,18.299999,19.33,19.33,32500
2016-10-25,19.440001000000002,19.695,19.365,19.5,19.5,17300
2016-10-26,19.700001,19.700001,18.65,18.709999,18.709999,9000
2016-10-27,18.93,19.030001000000002,17.24,17.5,17.5,39300
2016-10-28,17.639999,18.874001,17.0,17.52,17.52,47000
2016-10-31,17.540001,17.879998999999998,17.27,17.764999,17.764999,26100
2016-11-01,17.74,17.85,17.129998999999998,17.34,17.34,23900
2016-11-02,18.25,18.25,17.040001,17.57,17.57,26200
2016-11-03,17.709999,17.790001,16.74,16.860001,16.860001,24500
2016-11-04,17.040001,17.700001,17.040001,17.35,17.35,17100
2016-11-07,17.49,18.205,17.469998999999998,17.57,17.57,24800
2016-11-08,17.5,17.530001000000002,16.83,17.040001,17.040001,43700
2016-11-09,17.35,17.58,15.711,17.18,17.18,41200
2016-11-10,17.950001,18.59,17.33,18.280001000000002,18.280001000000002,34400
2016-11-11,19.25,19.25,18.370001000000002,18.49,18.49,51100
2016-11-14,18.620001000000002,18.620001000000002,17.280001000000002,17.35,17.35,18300
2016-11-15,17.299999,17.65,17.0,17.540001,17.540001,20800
2016-11-16,17.4,18.139999,16.15,18.0,18.0,40000
2016-11-17,18.474001,19.0,17.459999,18.809998999999998,18.809998999999998,16600
2016-11-18,18.639999,19.23,18.209999,18.450001,18.450001,26400
2016-11-21,18.899,18.9,18.1,18.34,18.34,16600
2016-11-22,18.4,18.68,17.75,18.110001,18.110001,21300
2016-11-23,17.52,17.610001,16.799999,16.98,16.98,40400
2016-11-25,17.07,17.07,16.559998999999998,16.700001,16.700001,17200
2016-11-28,16.82,16.860001,16.01,16.23,16.23,20300
2016-11-29,16.02,16.790001,15.67,16.41,16.41,23200
2016-11-30,16.07,16.99,16.01,16.33,16.33,25100
2016-12-01,16.299999,17.745001000000002,15.75,15.98,15.98,28500
2016-12-02,15.85,16.200001,14.9,15.07,15.07,36800
2016-12-05,15.65,16.0,14.701,14.9,14.9,59700
2016-12-06,15.03,15.71,14.92,15.11,15.11,43100
2016-12-07,15.67,15.735,14.94,15.18,15.18,67000
2016-12-08,15.65,15.94,15.28,15.77,15.77,18100
2016-12-09,15.331,16.0,14.98,15.28,15.28,31500
2016-12-12,15.4,15.77,15.05,15.31,15.31,22900
2016-12-13,15.29,16.26,15.29,15.98,15.98,17300
2016-12-14,15.55,16.4,15.55,15.83,15.83,34500
2016-12-15,16.011,16.09,15.46,15.77,15.77,77800
2016-12-16,15.89,15.96,15.4,15.73,15.73,98400
2016-12-19,15.71,16.674999,15.59,16.07,16.07,62300
2016-12-20,16.02,16.344998999999998,15.5,16.0,16.0,50600
2016-12-21,16.205,16.455999,15.75,15.82,15.82,27400
2016-12-22,15.84,16.115,15.84,16.0,16.0,13200
2016-12-23,16.077,16.389999,15.75,16.309998999999998,16.309998999999998,32900
2016-12-27,16.34,16.68,15.85,16.200001,16.200001,38500
2016-12-28,16.1,16.745001000000002,16.0,16.25,16.25,34700
2016-12-29,16.32,16.719998999999998,16.120001000000002,16.469998999999998,16.469998999999998,19800
2016-12-30,16.5,16.775999,16.25,16.41,16.41,17500
2017-01-03,16.280001000000002,16.559998999999998,15.41,15.7,15.7,26000
2017-01-04,15.73,16.200001,15.73,16.0,16.0,46100
2017-01-05,16.0,16.299999,15.8,15.89,15.89,70900
2017-01-06,16.059998999999998,16.417999,15.18,15.4,15.4,71700
2017-01-09,15.43,15.8,15.24,15.46,15.46,28900
2017-01-10,15.64,15.78,15.25,15.5,15.5,35300
2017-01-11,15.39,15.79,15.35,15.44,15.44,32300
2017-01-12,15.49,15.49,14.95,15.0,15.0,37900
2017-01-13,15.091,15.18,15.0,15.17,15.17,26100
2017-01-17,15.2,15.499,15.015,15.17,15.17,73600
2017-01-18,15.25,15.59,15.0,15.35,15.35,38800
2017-01-19,15.46,16.1,15.28,15.47,15.47,92500
2017-01-20,15.43,16.5,15.42,16.34,16.34,51900
2017-01-23,16.290001,16.66,16.049999,16.48,16.48,26300
2017-01-24,16.08,16.235001,15.19,16.1,16.1,158600
2017-01-25,16.174999,16.5,15.48,15.89,15.89,94400
2017-01-26,16.0,16.344998999999998,15.75,15.88,15.88,57300
2017-01-27,15.88,15.88,14.42,14.82,14.82,210000
2017-01-30,14.84,15.5,14.37,14.92,14.92,55400
2017-01-31,14.92,15.5,14.71,15.41,15.41,88400
2017-02-01,15.26,15.99,15.1,15.61,15.61,62900
2017-02-02,15.47,15.98,15.11,15.86,15.86,40400
2017-02-03,15.92,16.25,15.65,16.08,16.08,83900
2017-02-06,16.200001,16.200001,15.92,16.07,16.07,102500
2017-02-07,16.035,16.5,15.92,16.0,16.0,93400
2017-02-08,15.96,16.065001000000002,15.095,15.83,15.83,48400
2017-02-09,15.75,16.1,15.658,15.9,15.9,29800
2017-02-10,15.92,16.18,15.15,15.32,15.32,46400
2017-02-13,15.72,15.92,15.05,15.13,15.13,35600
2017-02-14,15.0,15.64,14.981,15.48,15.48,57000
2017-02-15,15.36,15.82,15.3,15.76,15.76,53400
2017-02-16,15.826,16.200001,15.41,15.86,15.86,136000
2017-02-17,15.95,16.139999,15.92,16.0,16.0,45100
2017-02-21,16.120001000000002,16.5,16.1,16.5,16.5,64700
2017-02-22,16.5,16.51,16.200001,16.43,16.43,61000
2017-02-23,16.495001000000002,17.209999,16.190001000000002,17.09,17.09,42900
2017-02-24,17.190001000000002,17.24,16.74,17.190001000000002,17.190001000000002,22800
2017-02-27,17.25,17.639999,16.9,17.26,17.26,76500
2017-02-28,18.35,20.41,17.969998999999998,20.23,20.23,477800
2017-03-01,20.23,21.059998999999998,19.785,20.33,20.33,322900
2017-03-02,20.110001,20.110001,18.27,18.48,18.48,122400
2017-03-03,17.940001000000002,19.33,17.940001000000002,18.950001,18.950001,88100
2017-03-06,19.049999,19.174999,18.700001,19.0,19.0,52000
2017-03-07,18.77,19.73,18.368,19.559998999999998,19.559998999999998,41500
2017-03-08,19.73,20.370001000000002,19.059998999999998,19.860001,19.860001,143300
2017-03-09,19.99,20.75,19.629998999999998,20.690001000000002,20.690001000000002,51200
2017-03-10,20.92,20.959999,20.15,20.66,20.66,80800
2017-03-13,20.799999,20.799999,19.6,19.99,19.99,141300
2017-03-14,19.9,19.9,18.219998999999998,18.559998999999998,18.559998999999998,104600
2017-03-15,18.559998999999998,18.559998999999998,17.969998999999998,18.200001,18.200001,205000
2017-03-16,18.59,18.83,17.771998999999997,17.969998999999998,17.969998999999998,257100
2017-03-17,17.91,18.24,17.666,17.940001000000002,17.940001000000002,247800
2017-03-20,18.059998999999998,18.91,17.396,18.799999,18.799999,64500
2017-03-21,18.790001,19.08,18.165001,18.860001,18.860001,60000
2017-03-22,18.799999,18.9,17.77,17.860001,17.860001,124900
